first_name,last_name,email,gender,phone,date,time,visit,spent
Cullin,de Werk,cdewerk0@spotify.com,Male,881-912-0049,7/24/2020,3:29 PM,Never,$62.86
Sutherlan,Plaice,splaice1@ibm.com,Female,312-667-5316,12/13/2020,4:06 PM,Weekly,$39.43
Osgood,Matoshin,omatoshin2@nifty.com,Female,757-297-6471,08-06-2020,6:22 PM,Never,$96.28
Berti,Dunham,bdunham3@rakuten.co.jp,Male,231-413-4917,1/31/2021,8:22 PM,Monthly,$93.69
Linnie,Kersley,lkersley4@utexas.edu,Male,604-100-1687,01-12-2021,8:05 PM,Yearly,$73.72
Tomaso,Edsall,tedsall5@tmall.com,Male,848-724-9516,03-04-2021,12:50 PM,Often,$55.47
Claude,Bidnall,cbidnall6@myspace.com,Female,242-568-5337,7/18/2020,6:28 PM,Once,$96.58
Riley,Gynn,rgynn7@taobao.com,Female,900-888-0402,10/21/2020,4:07 PM,Monthly,$13.52
Shaun,Farlowe,sfarlowe8@multiply.com,Female,278-151-0682,10-03-2020,2:48 PM,Often,$35.29
Benedicta,Beevors,bbeevors9@sun.com,Male,977-483-2959,3/22/2021,2:52 PM,Often,$43.10
Jada,Ciementini,jciementinia@ucsd.edu,Male,363-926-3814,10/31/2020,5:06 PM,Often,$91.30
Claybourne,McCallister,cmccallisterb@geocities.com,Male,801-744-1046,12-12-2020,8:45 PM,Monthly,$64.26
Genevra,Duxbury,gduxburyc@engadget.com,Male,108-601-0074,08-11-2020,2:15 PM,Seldom,$14.01
Joya,Wiskar,jwiskard@vimeo.com,Male,459-853-5323,07-06-2020,3:00 PM,Monthly,$29.95
Roanne,Rubberts,rrubbertse@topsy.com,Female,120-942-7602,01-07-2021,5:13 PM,Never,$31.53
Charmaine,Lafaye,clafayef@wsj.com,Female,222-300-5441,05-01-2021,10:40 AM,Never,$97.76
Lucita,Millsap,lmillsapg@samsung.com,Female,891-559-2585,01-03-2021,1:01 PM,Often,$16.67
Paula,Abdon,pabdonh@china.com.cn,Female,974-175-0363,1/27/2021,10:31 AM,Monthly,$37.84
Rheba,Jeness,rjenessi@netscape.com,Male,876-221-4922,03-04-2021,11:04 AM,Yearly,$38.76
Ruperto,Keems,rkeemsj@google.pl,Male,952-808-3772,5/27/2020,8:36 PM,Daily,$31.36
Laverna,Batterham,lbatterhamk@auda.org.au,Male,866-119-8551,06-12-2020,11:26 AM,Monthly,$63.65
Angelle,Bonnefin,abonnefinl@sakura.ne.jp,Male,125-175-5914,1/18/2021,1:02 PM,Often,$44.57
Sheppard,Radden,sraddenm@infoseek.co.jp,Male,261-415-5013,5/21/2020,1:45 PM,Seldom,$84.27
Rodney,Whitlock,rwhitlockn@toplist.cz,Male,416-741-2864,05-09-2020,8:27 PM,Daily,$47.71
Christina,Burgin,cburgino@friendfeed.com,Female,468-463-8585,9/25/2020,12:01 PM,Seldom,$83.24
Miner,Vellden,mvelldenp@cbsnews.com,Male,646-544-8667,6/20/2020,11:42 AM,Often,$31.35
Rhody,Kaine,rkaineq@hud.gov,Female,974-699-5527,5/18/2020,11:15 AM,Never,$99.32
Berny,Durram,bdurramr@twitter.com,Female,418-789-0418,10/19/2020,4:54 PM,Once,$77.33
